Category,SubCategory,Extension,Products
Pantry,Desserts,Puddings,14
Pantry,Desserts,Ready to Freeze Ice Blocks,7
Pantry,Health Foods,Health Breakfast Food & Spread,41
Pantry,Health Foods,Health Cooking & Pasta,219
Pantry,Health Foods,Health Snacks & Drinks,198
Pantry,Herbs & Spices,Dried Herbs & Spices,57
Pantry,Herbs & Spices,Salt & Pepper,118
Pantry,International Foods,Asian,702
Pantry,International Foods,European,33
Pantry,International Foods,Indian,316
Pantry,International Foods,Mexican,117
Pantry,International Foods,Middle Eastern,158
Pantry,International Foods,UK Foods,59
Pantry,"Pasta, Rice & Grains",Beans & Legumes,32
Pantry,"Pasta, Rice & Grains",Rice,144
Pantry,"Sauce, Oil & Vinegar",Marinades & Seasoning,20
Pantry,"Sauce, Oil & Vinegar",Pizza & Pasta Sauce,177
Pantry,"Sauce, Oil & Vinegar",Soy & Asian Sauces,17
Pantry,"Sauce, Oil & Vinegar",Stock & Gravy,119
Pantry,Snacks & Confectionery,Biscuits & Cookies,191
Pantry,Snacks & Confectionery,Corn Chips & Salsa,32
Pantry,Snacks & Confectionery,Muesli Bars & Snack,421
Pantry,Tea & Coffee,Black Tea,105
Pantry,Tea & Coffee,Green Tea,28
Pantry,Tea & Coffee,Herbal & Specialty Tea,94
Fruit & Veg,Fruit,Apples & Pears,21
Fruit & Veg,Fruit,Bananas,7
Fruit & Veg,Fruit,Berries & Cherries,16
Fruit & Veg,Fruit,Grapes,8
Fruit & Veg,Fruit,Melons & Mangoes,20
Fruit & Veg,Fruit,Pineapples & Kiwi Fruit,8
Fruit & Veg,Fruit,Tropical & Exotic Fruit,10
Fruit & Veg,Organic,Organic Fruit,10
Fruit & Veg,Organic,Organic Vegetables,42
Fruit & Veg,Salad,Herbs,50
Fruit & Veg,Salad,Sprouts,4
Fruit & Veg,Vegetables,"Broccoli, Cauliflower & Cabbage",9
Fruit & Veg,Vegetables,Capsicum & Mushrooms,26
Fruit & Veg,Vegetables,Onions & Leeks,13
Fruit & Veg,Vegetables,Cucumber,7
Fruit & Veg,Vegetables,Potatoes & Pumpkins,33
Fruit & Veg,Vegetables,Tomatoes,24
Fruit & Veg,Vegetables,"Zucchini, Eggplant & Squash",8
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Burgers & Sausages,69
"Poultry, Meat & Seafood",Seafood,Crab & Lobster,2
"Poultry, Meat & Seafood",Seafood,Prepacked Seafood,40
Freezer,Frozen Desserts,Assorted Desserts,19
Freezer,Frozen Desserts,Cakes & Cheesecakes,19
Freezer,Frozen Desserts,Dessert Pies & Pastries,8
Freezer,Frozen Fruit,Berries & Tropical,41
Freezer,Frozen Meat,Chicken Pieces & Nuggets,56
Freezer,Frozen Party Food,Pastry Sheets,17
Freezer,Frozen Party Food,"Pies, Pastries & Quiches",102
Freezer,Frozen Pizzas,Pizzas,42
Freezer,Frozen Seafood,Fish Fillets,58
Freezer,Frozen Seafood,Fish Fingers & Cakes,17
Freezer,Frozen Seafood,Frozen Seafood,107
Freezer,Frozen Vegetables,Beans & Peas,12
Freezer,Frozen Vegetables,Corn,6
Freezer,Frozen Vegetables,Mixed Vegetables,29
Freezer,Frozen Vegetables,Other Vegetables,18
Freezer,Frozen Vegetables,Steam Packs,7
Freezer,Ice Cream,Frozen Yoghurt,6
Freezer,Ice Cream,Gelato & Sorbet,12
Freezer,Ice Cream,Ice Cream Sticks & Cones,217
Freezer,Ice Cream,Ice Cream Tubs,170
Freezer,Ice Cream,Premium Ice Cream,207
Bakery,In-Store Bakery,Bread Rolls,217
Bakery,In-Store Bakery,Donuts & Cookies,43
Bakery,Packaged Bread & Bakery,Packaged Bread,224
Bakery,Packaged Bread & Bakery,Pizza Bases,17
Pet,"Birds, Fish & Small Pets",Bird Treats,15
Pet,"Birds, Fish & Small Pets",Small Pets Food,8
Pet,Cat & Kitten,Dry Cat Food,82
Pet,Cat & Kitten,Kitten Food,24
Pet,Dog & Puppy,Puppy Food,25
Drinks,Chilled Drinks,Chilled Soft Drinks & Energy Drinks,54
Drinks,Chilled Drinks,Chilled Water,6
Drinks,Coffee,Coffee Beans,124
Drinks,Coffee,Coffee Capsules,106
Drinks,Coffee,Ground Coffee,60
Drinks,Coffee,Instant & Flavoured Coffee,86
Drinks,"Cordials, Juices & Iced Teas",Chilled Juices,264
Drinks,"Cordials, Juices & Iced Teas",Cordials,88
Drinks,"Cordials, Juices & Iced Teas",Iced Teas,16
Drinks,Flavoured Milk,Drinking Chocolate,14
Drinks,Flavoured Milk,Drinks & Powders,84
Drinks,Flavoured Milk,Kids Milk,7
Drinks,Long Life Milk,Almond Milk,23
Drinks,Long Life Milk,Lactose Free Milk,9
Drinks,Long Life Milk,Oat & Rice Milk,25
Drinks,Long Life Milk,Powdered Milk,4
Drinks,Long Life Milk,Soy Milk,13
Drinks,Soft Drinks,Mixers,100
Drinks,Soft Drinks,Soft Drink Bottles,93
Drinks,Soft Drinks,Soft Drink Cans,73
Drinks,Sports & Energy Drinks,Energy Drinks,72
Drinks,Sports & Energy Drinks,Sports Drinks,42
Drinks,Tea,Black Tea,105
Drinks,Tea,Green Tea,28
Drinks,Tea,Herbal & Specialty Tea,94
Drinks,Water,Flavoured & Coconut Water,16
Drinks,Water,Sparkling Water,82
Drinks,Water,Still Water,38
Deli & Chilled Meats,Deli Meats,Deli Poultry,26
Deli & Chilled Meats,Deli Meats,Sliced & Shaved Deli Meat,8
Deli & Chilled Meats,Deli Specialties,Gourmet Cheese,229
Deli & Chilled Meats,Deli Specialties,Platters,10
Deli & Chilled Meats,Ready to Eat Meals,Chilled Quiches & Pies,1
"Dairy, Eggs & Fridge",Cheese,Block Cheese,54
"Dairy, Eggs & Fridge",Cheese,Grated Cheese,51
"Dairy, Eggs & Fridge",Cheese,Sliced Cheese,57
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Cream,34
"Dairy, Eggs & Fridge","Cream, Custard & Desserts",Custard,20
"Dairy, Eggs & Fridge",Dips & Pate,Dips,155
"Dairy, Eggs & Fridge",Dips & Pate,"Pate, Paste & Caviar",6
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Butter & Margarine,110
"Dairy, Eggs & Fridge","Eggs, Butter & Margarine",Eggs,95
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Fresh Pasta & Noodles,68
"Dairy, Eggs & Fridge",Fresh Pasta & Sauces,Pasta Sauces,26
"Dairy, Eggs & Fridge",Milk,Lactose Free Milk,9
"Dairy, Eggs & Fridge",Milk,Long Life Milk,19
Health & Beauty,Cosmetics,Lips,81
Health & Beauty,Cosmetics,Nails,26
Health & Beauty,Dental Care,Denture Care,11
Health & Beauty,Dental Care,Toothbrushes,279
Health & Beauty,Dental Care,Toothpaste,164
Health & Beauty,Hair Care,Colouring,211
Health & Beauty,Hair Care,Hair Accessories & Brushes,146
Health & Beauty,Hair Care,Mens Hair Care,55
Health & Beauty,Hair Care,Shampoo & Conditioner,464
Health & Beauty,Hair Care,Styling Products,165
Health & Beauty,Skin Care,Body Moisturiser,85
Health & Beauty,Skin Care,Face Moisturiser,260
Health & Beauty,Skin Care,183 Hand Moisturiser,17
Health & Beauty,Skin Care,Lip Care,38
Health & Beauty,Skin Care,Self-Tanning,49
Health & Beauty,First Aid & Medicinal,"Cold, Flu & Allergies",115
Health & Beauty,First Aid & Medicinal,Cotton Wool & Cotton Buds,6
Health & Beauty,First Aid & Medicinal,Medicinal Oils & Ointments,42
Health & Beauty,Vitamins,Brain & Heart Health,40
Health & Beauty,Vitamins,Detox & Digestion,76
Health & Beauty,Vitamins,"Hair, Skin & Nails",58
Health & Beauty,Vitamins,Brain & Heart Health,40
